ONTOTERM,right atrium auricular region,esophagus squamous epithelium,skin of leg,uterus,frontal cortex,esophagus muscularis mucosa,subcutaneous adipose tissue,right lobe of liver,transverse colon,upper lobe of left lung,spleen,amygdala,sigmoid colon,skin of abdomen,cortex of kidney,substantia nigra,anterior cingulate cortex,left ventricle myocardium,caudate nucleus,gastrocnemius medialis,tibial artery,dorsolateral prefrontal cortex,fibroblast,prostate gland,nucleus accumbens,gastroesophageal sphincter,venous blood,breast epithelium,C1 segment of cervical spinal cord,putamen,K562,omental fat pad,tibial nerve,adrenal gland,thyroid gland,Peyer's patch,stomach,ascending aorta,lymphoblast,pituitary gland,left ovary,vagina,testis,cerebellum,anterior lingual gland,coronary artery,Ammon's horn,body of pancreas,hypothalamus,urinary bladder,endocervix,fallopian tube,ectocervix
ENSG00000127564,-0.3548671367,1.0456302638,0.6174350739,-0.3040997329,0.6733800177,-0.2738681719,-0.015678551,-0.0508305573,0.4518172631,0.4338637295,0.8850047723,0.4014009197,-0.3096699193,0.6193826527,-0.0496119734,0.4237910834,0.5306429823,-0.4283781795,0.2374171107,-0.5827888226,-0.4973835684,0.5748340644,0.6086537262,0.3748181672,0.121698537,-0.2832529311,0.1050630405,-0.0525426836,0.6382051634,0.2611961074,1.8271815436,-0.1200129725,0.1147525268,0.1749162061,-0.0365466652,0.5123955866,0.162068073,-0.0779523785,1.4135153233,0.3654622304,-0.4027674753,0.452856981,1.9671253849,0.9581263903,0.4156463464,-0.0175801513,0.4497395296,-0.1479141001,0.2910442401,-0.1061331466,-0.4350259855,-0.1809611729,0.0005117372
ENSG00000138669,0.0067704075,-0.2988619095,-0.0168590786,-0.5946040371,0.0569026974,0.4636949622,-0.1090705511,-1.6909633513,0.1029054519,-0.148786105,-1.1348103217,-0.0091787601,-0.0670122885,-0.1460173774,-0.7354764897,-0.1110462691,0.0928818984,-1.8221350296,-0.2909090365,-1.8295746343,-1.5294109347,0.1257247325,0.2106384492,0.200195783,-0.2455063295,0.3025144902,-1.9239163177,-0.2834753808,-0.4945441173,-0.4361776031,-0.2288890179,-0.9586360646,-0.1434565859,-1.6435585707,-0.8941982383,0.4798342892,-1.0319551533,-1.1107731082,-1.5927301179,0.3136650974,-1.3182400261,-0.1371342141,-0.0010782346,-0.7165404404,-0.4470131238,-1.2569669714,-0.0754882885,-0.6437659649,0.0787053922,-0.3295074279,-0.3145086114,-0.8965696647,-0.3630421748
ENSG00000076984,1.0429172089,1.2797177979,1.5063459884,1.5801716777,1.2074121038,1.4278874701,1.3688586515,1.0492025553,1.3243293384,1.3874637134,1.45753981,0.9988821574,1.4185825662,1.4769520015,1.0824514696,1.0946686395,1.0376920987,0.8967957753,1.0268892566,1.3768342718,1.3772212315,1.148322727,1.2624961664,1.4461285339,1.0099477368,1.4018826291,0.9074322351,1.4047603539,1.1351474924,1.0198286569,1.3730524259,1.2429815848,1.4454445784,1.2066460314,1.4679775374,1.3656742756,1.1764362485,1.313888294,1.3130467029,1.4973071591,1.46583171,1.4609362076,1.4249218301,1.642031677,1.3257596433,1.3043318491,1.0438555491,1.0104894645,1.1026009286,1.498597544,1.5268090741,1.5133319748,1.4960387991
ENSG00000030304,-0.2543341622,-0.2843316722,-1.0631780388,-1.8218352862,-1.7365405778,-0.6081630782,-1.6721959621,-1.6193679317,-0.1904833385,-0.0407208464,-1.8313390218,-1.2522075702,-0.2437315165,-1.1274658564,-2.1963616218,-1.3695726137,-2.0043985997,-0.744593922,-1.0356722182,0.0105793803,-0.606210159,-2.0121625447,0.1172475383,-1.5367215558,-1.4839704254,-0.3595332743,-2.8258128422,-1.5175072533,-1.322138324,-1.2187059778,-2.5086011231,-1.4528149579,-0.7617472249,-1.2333480032,-1.2109574347,0.2373755684,-0.2939305889,-0.5654028396,-2.5548901635,-1.1339648623,-1.222590196,-1.4214392525,0.1174763177,-2.4314616527,-1.1137706875,-0.269124132,-1.052593741,-1.8069941409,-1.1493552518,-0.0493655706,-0.8315050534,-2.3784893429,-1.0250623426
ENSG00000134072,1.0723629575,0.8664052846,0.9172444534,1.6417616358,1.7328441967,1.5948074889,1.6305739386,1.273980839,1.2140031269,1.4575554548,1.2627712679,1.5148090576,1.5380329983,0.8602659484,1.2122745549,1.2443819562,1.5941282876,0.8238979358,1.6392411639,0.4429310507,1.6434820472,1.7189584677,1.1906415993,1.6192569089,1.6515169082,1.6290009652,0.8280987686,1.5442754653,0.9158200461,1.5529684014,1.0323595738,1.6881099028,1.5597510832,1.899837519,1.4311415359,1.1636340641,1.1231791451,1.6402701631,0.2547571844,1.441604805,1.6629984782,1.2635347035,1.663112271,1.5784699612,0.9924564929,1.6417311158,1.5388897101,0.58548984,1.450921618,1.4136301749,1.5371043217,1.6512639265,1.4143192058
ENSG00000108443,0.7296852903,1.1432052761,1.0338799682,1.196538275,0.8018710841,1.0421326436,1.0979069423,0.7476079918,0.9297882252,1.081813174,0.9989960128,0.6433856526,1.0849826307,1.043732231,0.6786286401,0.7507165254,0.7371016818,0.5349209142,0.7148059417,0.9937365029,1.0924177145,0.8425841485,1.1505523988,1.1208662245,0.7004494527,1.0443501817,0.2601255575,1.0929484291,0.8336403607,0.6506980556,1.2042403982,1.0640828146,1.166765843,0.9845572355,1.174517038,0.9568002837,0.9122950253,1.0271080284,1.1983103816,1.0756417893,1.1938589715,1.2015175072,0.867263036,1.1757983849,1.0414225691,1.0449427169,0.7198508776,0.7934515773,0.7555096641,1.0935984978,1.2351712298,1.1227516015,1.1732543716
ENSG00000137948,-2.4190630648,-2.505546781,-2.5395780314,-2.4596975108,-1.8178665045,-2.2134336261,-2.2215846513,-2.4137354871,-2.5259814096,-1.5808223534,-1.9561887572,-2.2872476671,-2.3953993468,-2.476707945,-2.4351102315,-2.4182547551,-1.9030054964,-2.7530865782,-1.8571594274,-2.6639291094,-2.5604877916,-1.7470688137,-2.5713229769,-2.0143173116,-1.8556103455,-2.42646766,-2.4448958382,-1.8568481335,-2.6882327936,-1.9578429764,-2.4408261452,-1.9766690717,-2.4568553465,-2.3880328878,-2.2847440927,-2.0243251308,-2.3180962882,-2.2524827714,-2.34193053,-2.2395945744,-2.2554342229,-2.3462744305,1.765742187,-2.3270671575,-2.3247537389,-2.1844768284,-2.4305217935,-2.4322516644,-2.4956754104,-2.1113119182,-1.1638346602,-1.7637819874,-1.8441433059
ENSG00000132964,0.6720861417,0.898208934,0.8274071282,1.0315445071,0.7350108907,1.0949090282,0.8375241404,0.6558543229,1.0944701757,0.9420499811,0.8539591534,0.6332006604,1.3949117191,0.8361564191,0.6372303272,0.7447492648,0.7557836809,0.5083138858,0.6803396671,0.6524334072,0.9467859392,0.8134685879,0.8792167814,1.0165424695,0.681431078,1.0208173221,-0.08811282,0.8146238272,0.6890125048,0.6224465777,1.2956202009,0.8129791786,0.9166734777,0.8468070973,0.8712429606,1.0510874591,0.8890742393,0.9174320847,1.0576815523,0.9429896801,0.8107353517,0.9216925668,1.2156640271,1.2310137207,0.7709098981,0.9575294774,0.7039919681,0.6721279144,0.7781746505,1.1744417774,0.9220322758,0.9397494241,0.914338475
ENSG00000173846,0.992814397,1.4358770441,1.4482854133,1.3581207522,0.8231309727,1.13073556,1.2939816048,0.6616428631,1.0301609912,1.6525768526,1.3638966696,0.6430562936,1.045693271,1.5774730173,0.9213413277,0.8540659385,0.6765471441,0.6985168573,0.746279594,0.4818903369,1.3322397409,0.7017614266,1.3973304438,1.1474820906,0.7794774276,1.1945784329,1.3501239134,1.3463287388,1.0264465609,0.6029028737,1.0960532291,1.555457285,1.4145154791,1.1179362793,1.3605259673,1.2335777321,0.9735472817,1.6879051478,1.191067659,1.344042379,1.262366891,1.3328622693,0.8368241603,0.7291698359,1.1428379442,1.4757941937,0.6951169606,0.7962847283,1.0071160378,1.1059139476,1.2298730839,1.5756933763,1.3813664421
ENSG00000126562,-1.0369489464,0.7022801512,-0.535344182,-0.6641346943,-0.6393816885,0.3287101369,-1.0053629818,-0.7371340681,0.7586770894,-0.682125999,-0.7165672391,-0.5936319689,-0.4599095455,-0.3740094877,1.0245778913,-0.4389144117,-0.8219630731,-1.4789118865,-0.8439115945,-1.4948332031,-0.9711906753,-0.7841822479,0.5300534978,0.9888594547,-0.8090534741,0.1641470427,-1.8660668327,0.1061426721,-0.210485191,-0.7216160934,1.0826629771,-0.0059203582,0.5188155621,-1.0142873505,-0.9291730857,0.6294190372,0.2314694896,-0.8628657041,-0.9353789706,-0.1911388543,0.5923230401,-0.0650016946,-0.0896585918,-0.5290859612,0.1169025352,-0.9148583542,-0.1618537934,-0.5800486797,-0.6099300921,-0.4078889572,-0.1029296821,-0.2153869682,-0.0752123429
